FIPS,State,Latitude,Longitude,ExcessiveDrinking,AlcoholDrivingDeath,TotalDrivingDeath
1000,Alabama,31.8,-86.902298,14,1284,4654
4000,Arizona,34.048928,-111.093731,17,1177,4630
5000,Arkansas,35.20105,-91.831833,16,690,2622
6000,California,36.778261,-119.417932,19,5266,17773
8000,Colorado,39.550051,-105.782067,20,996,2923
9000,Connecticut,41,-73.087749,17,447,1397
10000,Delaware,39.045755,-73,17,183,604
11000,District of Columbia,38.3,-76,27,39,135
12000,Florida,27.664827,-81.515754,17,3467,14857
13000,Georgia,32.157435,-82.907123,14,1548,7196
16000,Idaho,44.068202,-114.742041,17,342,1131
17000,Illinois,40.633125,-89.398528,21,1636,5121
18000,Indiana,40.551217,-85.602364,18,819,4165
19000,Iowa,41.878003,-93.097702,22,455,1692
20000,Kansas,39.011902,-98.484246,19,445,2034
21000,Kentucky,37.839333,-84.270018,17,984,3773
22000,Louisiana,31.244823,-92.145024,20,1252,3787
23000,Maine,45.253783,-69.445469,20,278,757
24000,Maryland,39.35,-76.641271,17,734,2543
25000,Massachusetts,42.407211,-71.382437,21,537,1792
26000,Michigan,44.314844,-85.602364,20,1432,4938
27000,Minnesota,46.729553,-94.6859,22,571,1903
28000,Mississippi,32.354668,-89.398528,14,663,3320
29000,Missouri,37.964253,-91.831833,20,1217,4436
30000,Montana,46.879682,-110.362566,21,439,974
31000,Nebraska,41.492537,-99.901813,22,390,1147
32000,Nevada,38.80261,-116.419389,19,467,1587
33000,New Hampshire,43.193852,-71.572395,21,181,594
34000,New Jersey,40.058324,-74.405661,18,637,2907
35000,New Mexico,34.97273,-105.032363,16,567,1860
36000,New York,43.299428,-76.5,19,1078,5167
37000,North Carolina,35.759573,-79.0193,17,2051,6962
38000,North Dakota,47.551493,-101.002012,24,259,600
39000,Ohio,40,-82.907123,20,1798,5495
40000,Oklahoma,35.007752,-97.092877,14,873,3313
41000,Oregon,43.804133,-120.554201,19,695,2246
42000,Pennsylvania,41.203322,-79.5,19,1583,5910
44000,Rhode Island,41.580095,-71.477429,20,105,290
45000,South Carolina,33.836081,-81.163725,17,1605,4848
46000,South Dakota,43.969515,-99.901813,19,237,645
47000,Tennessee,35.517491,-86.580447,14,1264,5027
48000,Texas,31.968599,-99.901813,20,4917,18289
49000,Utah,39.32098,-111.093731,12,303,1348
50000,Vermont,44.558803,-72.577841,19,104,300
51000,Virginia,37.431573,-78.656894,17,1169,3876
53000,Washington,47.751074,-120.740139,17,852,2658
54000,West Virginia,38.8,-80.454903,12,385,1407
55000,Wisconsin,43.78444,-88.787868,24,1043,2880
56000,Wyoming,43.075968,-107.290284,20,219,641
